id,genres,popularity,vote_average,vote_count,revenue,budget,runtime
840,"[""Science Fiction"",""Drama""]",3.969891,7.2,998,303788635,20000000,135
844,"[""Fantasy"",""Drama"",""Science Fiction"",""Romance""]",1.336508,6.9,197,19271312,12000000,129
848,"[""Fantasy""]",0.191276,6.5,60,14110013,18000000,108
852,"[""Thriller"",""Crime""]",0.061432,6.9,21,0,0,95
856,"[""Fantasy"",""Animation"",""Comedy"",""Crime"",""Family""]",2.725244,7.2,1265,329803958,70000000,104
860,"[""Thriller"",""Science Fiction""]",1.978827,7,477,79567667,12000000,114
864,"[""Comedy""]",0.840275,6.7,449,154864401,14000000,98
868,"[""Crime"",""Drama""]",1.05102,6.9,88,9879971,3000000,94
872,"[""Comedy"",""Music"",""Romance""]",2.862427,7.8,648,7200000,2540800,103
876,"[""Action"",""Adventure"",""Fantasy"",""Science Fiction""]",1.39476,6.7,111,0,20000000,292
880,"[""Drama"",""Comedy""]",0.127935,7.2,24,0,900000,102
884,"[""Drama"",""Thriller"",""Romance""]",1.486415,6.4,199,0,10000000,100
888,"[""Fantasy"",""Comedy"",""Family""]",1.870362,5,482,341631208,46000000,91
892,"[""Comedy"",""Science Fiction"",""Fantasy""]",2.186549,7.4,286,13760640,4000000,99
896,"[""Drama""]",0.23954,8.3,38,16000,0,117
900,"[""Comedy"",""Romance""]",0.870925,7.5,181,0,1073000,102
904,"[""Comedy"",""Drama""]",0.00015,0,0,0,0,0
908,"[""Romance"",""Comedy""]",0.01412,5.3,8,0,850000,82
912,"[""Romance"",""Crime"",""Thriller"",""Drama""]",1.767521,6.9,86,0,4300000,102
916,"[""Action"",""Crime"",""Drama"",""Thriller""]",1.694822,7,251,42300873,5500000,113
920,"[""Animation"",""Adventure"",""Comedy"",""Family""]",10.358082,6.5,3459,461983149,120000000,117
924,"[""Fantasy"",""Horror"",""Action""]",4.419164,6.8,942,102356381,28000000,101
928,"[""Comedy"",""Horror"",""Fantasy""]",3.553524,6.2,577,41482207,50000000,106
932,"[""Drama""]",0.011186,7.4,5,0,0,91
936,"[""Comedy"",""Crime""]",1.357068,6.9,222,10878107,0,115
940,"[""Mystery"",""Thriller""]",1.327981,7.5,168,0,0,96
944,"[""Action"",""Adventure"",""Comedy"",""Crime"",""Thriller""]",2.272347,6.3,706,285444603,140000000,127
948,"[""Horror"",""Thriller""]",3.172458,7.4,933,70000000,300000,91
956,"[""Adventure"",""Action"",""Thriller""]",3.917029,6.5,1886,397850012,150000000,126
964,"[""Drama"",""Horror""]",0.762461,7,70,0,0,101
968,"[""Crime"",""Drama"",""Thriller""]",1.977839,7.5,614,46665856,1800000,125
976,"[""Drama""]",0.689459,7.5,96,0,0,96
980,"[""Action"",""Drama"",""Western""]",0.836247,7.9,67,0,0,75
984,"[""Action"",""Crime"",""Thriller""]",2.358291,7.4,570,35976000,4000000,102
988,"[""Thriller"",""Drama""]",0.676208,7,96,51718367,5900000,122
992,"[""Fantasy"",""Drama"",""Comedy"",""Mystery""]",1.108085,8.1,119,0,0,49
996,"[""Drama"",""Mystery"",""Thriller""]",1.582782,8,384,2500000,927262,107
1024,"[""Drama"",""Fantasy""]",0.960092,6.9,281,3049135,5000000,99
1040,"[""Drama""]",0.714783,7.7,117,0,0,185
1052,"[""Drama"",""Mystery"",""Thriller""]",1.880991,7.3,197,0,0,111
1088,"[""Drama"",""Family""]",0.820034,7.1,103,41400000,8000000,101
1092,"[""Thriller"",""Mystery""]",1.968471,7.9,385,596349,0,104
1116,"[""Drama"",""History"",""War""]",1.71167,7,143,22889018,6500000,124
1124,"[""Drama"",""Mystery"",""Thriller""]",5.954667,7.9,3939,109676311,40000000,130
1164,"[""Drama""]",2.827731,6.9,970,135330182,25000000,143
1244,"[""Music"",""Drama"",""Comedy""]",0.256373,6.9,8,0,0,114
1248,"[""Crime"",""Drama"",""Thriller""]",0.56542,6,620,82169884,50000000,121
1252,"[""Drama"",""Thriller"",""Crime"",""Romance""]",1.858643,5.9,80,0,0,108
1256,"[""Horror"",""Thriller""]",1.353741,5.4,14,0,2000000,97
1260,"[""Adventure"",""Animation"",""Comedy"",""Family""]",0.044846,9,4,0,0,81
1264,"[""Comedy"",""Family"",""Adventure""]",0.215664,5.3,12,0,700000,110
1268,"[""Family"",""Comedy""]",2.380987,6.1,600,229736344,25000000,90
1272,"[""Science Fiction"",""Thriller""]",2.647984,6.9,1101,32017803,50000000,107
1280,"[""Drama"",""Romance"",""Crime""]",1.995523,7.6,199,0,0,88
1284,"[""Comedy"",""Crime""]",0.710676,6.2,38,0,0,99
1360,"[""Drama"",""Romance""]",1.607607,7.3,338,56298474,12000000,123
1364,"[""Drama"",""Romance""]",2.273675,6.6,120,2628241,0,128
1368,"[""Action"",""Adventure"",""Thriller"",""War""]",4.238985,7.2,1366,125212904,15000000,93
1372,"[""Drama"",""Thriller"",""Action""]",5.040802,7.3,2091,170877916,100000000,143
1376,"[""Crime"",""Drama""]",0.772839,6.4,44,0,0,106
1380,"[""Drama""]",0.462286,5.5,30,2777280,0,109
1388,"[""Documentary""]",1.8e-05,5.1,4,0,1,30
1392,"[""Documentary""]",0.200853,6.6,54,3515061,350000,85
1396,"[""Drama"",""History""]",1.162569,7.8,122,0,0,106
1404,"[""Drama"",""Romance""]",0.384492,6.2,21,0,0,104
1408,"[""Action"",""Adventure""]",1.5003,5.7,125,18517322,98000000,119
1412,"[""Drama""]",2.174039,6.7,176,0,1200000,100
1416,"[""Thriller"",""Drama""]",0.323047,6.7,28,0,0,96
1420,"[""Drama"",""Comedy""]",1.718464,6.9,69,0,0,128
1424,"[""Drama"",""Mystery"",""Thriller""]",0.64186,5,10,0,0,73
1428,"[""Action""]",2.678847,6.2,554,98185582,29000000,102
1436,"[""History"",""Drama"",""Action""]",0.385489,6.8,33,0,8000000,155
1440,"[""Romance"",""Drama""]",2.05485,6.9,224,14821658,26000000,136
1444,"[""Comedy"",""Drama""]",0.384592,6.5,61,0,0,106
1448,"[""Drama"",""Fantasy"",""Horror""]",0.358959,5.6,25,0,0,98
1452,"[""Adventure"",""Fantasy"",""Action"",""Science Fiction""]",3.243342,5.4,1288,391081192,270000000,154
1480,"[""Drama"",""Thriller"",""Crime""]",1.937381,7.6,258,2247465,829000,95
1484,"[""Drama""]",0.249183,6.3,11,0,0,110
1488,"[""Drama"",""Comedy""]",0.069412,0,0,0,0,102
1492,"[""Action"",""Adventure"",""Drama"",""History""]",1.048605,6.1,166,7191399,47000000,154
1496,"[""Drama"",""Action"",""Comedy"",""Music"",""Romance""]",0.379946,4.7,26,1193062,6000000,91
1540,"[""Drama"",""Romance""]",0.657939,5.3,9,0,0,108
1544,"[""Drama"",""Comedy"",""Romance""]",0.732926,6.9,153,2455831,0,93
1548,"[""Comedy"",""Drama""]",1.597585,7.1,395,0,7000000,111
1552,"[""Comedy"",""Drama"",""Family""]",1.04481,6.5,163,126297830,0,124
1556,"[""Drama""]",0.398358,7.1,20,0,0,104
1560,"[""Comedy"",""Drama"",""Horror""]",0.24344,7.9,18,0,0,115
1564,"[""Documentary""]",0.000304,6.8,6,0,0,5
1568,"[""Drama"",""Thriller""]",0.529807,7.1,28,0,0,38
